"label","gender","profession","ideology_binary","ideology_multiclass","tweet"
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Escribió un libro resultón, con gracejo, que mueve sentimientos por doquier. La invitaron a hablar de ello ante Presidencia, lo preparó bien para impactar. Lo logró. La intelectualidad de izquierdas, solita, hizo el resto. Le hizo la publi, le generó el hueco, la consagró."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Lo prometido es deuda. Aquí la foto: ."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Bastante ñoña. Me jarté a llorar. De lo más terapéutico."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user No sé nada acerca de eso, pero está claro que vulnerar un 'Off the record' no es manera de cuidar a periodistas ""cercanos"", como debe hacer un portavoz en respeto a su responsabilidad organizativa. Eso es de primero de comunicación, y a Iglesias no se le escapa, te lo aseguro."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user ¿En qué medio tienen su podcast esos, dice Ud.?"
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","Dos vueltas al sol ya, Manu. Hijo de la tormenta. Qué confusos y agolpados los recuerdos de esa noche infinita. El pánico, la tensión, la incertidumbre y la euforia final, tan pegadas. Gracias por cuanto nos enseñas cada día. Dulces sueños, ratón. Mañana seguimos. Feliz cumple."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","Twitter no va a desaparecer, decir eso es desconocer cómo funciona. Lo que ya está pasando (e irá a peor) es su degeneración: veremos una selección cada vez más absurda y pobre de mensajes en nuestro timeline, y sólo quienes inviertan mucho en promoción lograrán grandes alcances."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Ni sé quién es, ni nos conocemos de nada, ni logro adivinar de dónde procede su reproche arbitrario y errático. Feliz sábado, y buena terapia tenga Ud."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Bueeeeno.... En ello estamos. Subterfugios, tienen muchos, por desgracia. El de esta noticia les funciona bien, por ejemplo. Ganar una plaza y que te dure un año, y luego a la calle."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Sensación correcta. O haces méritos y CV para progresar y asentarte profesionalmente, o los haces para el impacto cultural y reconocimiento público. Son incompatibles, nadie (joven) destaca en ambos ámbitos, es imposible."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","Lo digo con cariño a las amigas y amigos que con su mejor intención han analizado el viral. Respeto su análisis, pero creo que la reacción colectiva (lluvia de columnas acusatorias de protofascismo y campaña de acoso en redes) ha sido algo desproporcionada y contraproducente."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Si por premisa te referías a que muchos intelectuales del primer grupo (denunciantes de la ciencia como herramienta de dominación) hoy están en el segundo (combatiendo en negacionismo con ciencia). Que así te he entendido yo. Y me parece una obviedad que eso se da tal cual."
"00369358fac3b8d42845f82f0c3ececc","male","journalist","left","left","@user Creo que no ""ES"" estrictamente de ninguno de los dos, en el sentido de pertenencia identitaria. ¡Por suerte para la izquierda! Pero es un poco de los dos, y también de Podemos, en el sentido de vinculación socialmente percibida e inevitable. Y ese delicado equilibrio debe cuidar."
