word,count
hoy,13298
gobierno,12072
españa,10346
años,8906
gracias,8494
ser,8321
solo,7588
madrid,6403
tambien,6359
ley,6304
dia,6189
ahora,5823
siempre,5501
asi,5309
dos,5168
aqui,5130
mejor,5088
puede,4995
hacer,4688
bien,4613
pais,4586
año,4565
gran,4424
menos,4358
vez,4347
politica,4346
ver,4334
vida,4304
gente,4230
estan,4150
dias,4046
cada,3868
tan,3779
mundo,3695
dice,3671
personas,3603
mujeres,3525
todas,3502
trabajo,3400
sido,3399
presidente,3344
mismo,3326
nuevo,3308
tras,3260
hecho,3203
poder,3190
millones,3131
historia,2979
cosas,2934
nunca,2888
toda,2883
partido,2861
mañana,2855
congreso,2802
parte,2783
tiempo,2761
despues,2745
pues,2728
parece,2658
derecha,2652
creo,2649
claro,2643
verdad,2623
guerra,2596
decir,2580
derechos,2567
podemos,2562
primera,2556
muchas,2508
democracia,2487
tener,2477
nadie,2471
social,2418
cuenta,2366
españoles,2365
nueva,2310
frente,2308
izquierda,2273
semana,2271
mientras,2250
europa,2248
caso,2228
ayer,2225
publica,2211
sino,2187
seguir,2174
publico,2173
meses,2167
vamos,2165
derecho,2159
libertad,2136
sera,2125
sigue,2118
euros,2114
cambio,2112
futuro,2089
usted,2087
mal,2070
tres,2068
mayor,2056
